,Country/Region,Confirmed,Deaths,Recovered,Active,AvgTemp
0,US,4290259,148011,1325804,2816444,12.1
1,Brazil,2442375,87618,1846641,508116,23.4
2,India,1480073,33408,951166,495499,26.9
3,Russia,816680,13334,602249,201097,-11.5
4,South Africa,452529,7067,274925,170537,18.3
5,Mexico,395489,44022,303810,47657,23.6
6,Peru,389717,18418,272547,98752,21.7
7,Chile,347923,9187,319954,18782,13.4
8,United Kingdom,301708,45844,1437,254427,8.7
9,Iran,293606,15912,255144,22550,17.0
10,Pakistan,274289,5842,241026,27421,27.6
11,Spain,272421,28432,150376,93613,12.9
12,Saudi Arabia,268934,2760,222936,43238,22.0
13,Colombia,257101,8777,131161,117163,26.5
14,Italy,246286,35112,198593,12581,12.2
15,Turkey,227019,5630,210469,10920,11.3
16,Bangladesh,226225,2965,125683,97577,28.4
17,France,220352,30212,81212,108928,13.8
18,Germany,207112,9125,190314,7673,10.0
19,Argentina,167416,3059,72575,91782,16.6
20,Canada,116458,8944,0,107514,10.9
21,Iraq,112585,4458,77144,30983,20.4
22,Qatar,109597,165,106328,3104,22.0
23,Indonesia,100303,4838,58173,37292,27.3
24,Egypt,92482,4652,34838,52992,20.2
25,China,86783,4656,78869,3258,14.8
26,Kazakhstan,84648,585,54404,29659,8.6
27,Philippines,82040,1945,26446,53649,30.1
28,Ecuador,81161,5532,34896,40733,20.7
29,Sweden,79395,5700,0,73695,4.6
30,Oman,77058,393,57028,19637,30.0
31,Bolivia,71181,2647,21478,47056,20.9
32,Belarus,67251,538,60492,6221,7.2
33,Ukraine,67096,1636,37202,28258,9.0
34,Belgium,66428,9822,17452,39154,9.8
35,Kuwait,64379,438,55057,8884,24.9
36,Dominican Republic,64156,1083,30204,32869,25.6
37,Israel,63985,474,27133,36378,18.0
38,Panama,61442,1322,35086,25034,28.0
39,United Arab Emirates,59177,345,52510,6322,26.1
40,Netherlands,53413,6160,189,47064,9.1
41,Singapore,50838,27,45692,5119,28.0
42,Portugal,50299,1719,35375,13205,15.9
43,Romania,45902,2206,25794,17902,11.2
44,Guatemala,45309,1761,32455,11093,17.0
45,Poland,43402,1676,32856,8870,8.6
46,Nigeria,41180,860,18203,22117,29.0
47,Honduras,39741,1166,5039,33536,24.6
48,Bahrain,39482,141,36110,3231,25.3
49,Armenia,37390,711,26665,10014,12.9
50,Afghanistan,36263,1269,25198,9796,12.8
51,Switzerland,34477,1978,30900,1599,8.8
52,Ghana,33624,168,29801,3655,27.8
53,Kyrgyzstan,33296,1301,21205,10790,12.3
54,Japan,31142,998,21970,8174,14.2
55,Azerbaijan,30446,423,23242,6781,12.9
56,Algeria,27973,1163,18837,7973,24.6
57,Ireland,25892,1764,23364,764,8.3
58,Serbia,24141,543,0,23598,12.9
59,Moldova,23154,748,16154,6252,10.4
60,Uzbekistan,21209,121,11674,9414,15.5
61,Morocco,20887,316,16553,4018,16.8
62,Austria,20558,713,18246,1599,10.7
63,Nepal,18752,48,13754,4950,19.2
64,Kenya,17975,285,7833,9857,27.2
65,Cameroon,17110,391,14539,2180,26.1
66,Venezuela,15988,146,9959,5883,22.7
67,Costa Rica,15841,115,3824,11902,23.7
68,Cote d'Ivoire,15655,96,10361,5198,27.0
69,Czechia,15516,373,11428,3715,6.0
70,Australia,15303,167,9311,5825,24.1
71,El Salvador,15035,408,7778,6849,24.5
72,Ethiopia,14547,228,6386,7933,20.9
73,South Korea,14203,300,13007,896,12.5
74,Denmark,13761,613,12605,543,7.7
75,Sudan,11424,720,5939,4765,27.8
